case:concept:name,concept:name,time:timestamp
57,pizza,2021-01-02 02:54:53
56,pizza,2021-01-02 02:55:06
55,spaghetti,2021-01-02 02:56:37
56,grill,2021-01-02 03:08:11
57,spaghetti,2021-01-02 03:12:00
55,leave,2021-01-02 03:13:12
58,enter,2021-01-02 03:23:36
57,grill,2021-01-02 03:28:17
59,enter,2021-01-02 03:32:28
56,spaghetti,2021-01-02 03:33:40
58,pizza,2021-01-02 03:39:38
57,grill,2021-01-02 03:45:16
59,pizza,2021-01-02 03:46:00
56,leave,2021-01-02 03:47:36
57,spaghetti,2021-01-02 04:06:52
58,spaghetti,2021-01-02 04:08:25
59,grill,2021-01-02 04:13:57
59,spaghetti,2021-01-02 04:18:50
58,grill,2021-01-02 04:20:20
57,spaghetti,2021-01-02 04:22:11
60,enter,2021-01-02 04:22:45
58,spaghetti,2021-01-02 04:26:47
58,grill,2021-01-02 04:35:17
59,grill,2021-01-02 04:37:11
60,pizza,2021-01-02 04:37:47
57,spaghetti,2021-01-02 04:43:36
61,enter,2021-01-02 04:49:21
60,spaghetti,2021-01-02 04:55:02
59,spaghetti,2021-01-02 04:59:05
58,spaghetti,2021-01-02 04:59:18
57,spaghetti,2021-01-02 05:02:53
60,grill,2021-01-02 05:04:12
61,spaghetti,2021-01-02 05:05:04
59,spaghetti,2021-01-02 05:07:03
58,leave,2021-01-02 05:07:59
61,pizza,2021-01-02 05:15:54
57,spaghetti,2021-01-02 05:17:59
59,spaghetti,2021-01-02 05:27:14
60,grill,2021-01-02 05:27:19
62,enter,2021-01-02 05:32:14
57,spaghetti,2021-01-02 05:38:49
61,grill,2021-01-02 05:44:58
60,leave,2021-01-02 05:46:42
59,leave,2021-01-02 05:47:07
57,spaghetti,2021-01-02 05:50:33
62,pizza,2021-01-02 05:51:15
61,leave,2021-01-02 05:58:15
57,spaghetti,2021-01-02 06:01:53
62,spaghetti,2021-01-02 06:18:04
57,spaghetti,2021-01-02 06:20:51
63,enter,2021-01-02 06:21:25
62,grill,2021-01-02 06:27:30
57,spaghetti,2021-01-02 06:32:56
64,enter,2021-01-02 06:33:04
64,pizza,2021-01-02 06:39:49
57,spaghetti,2021-01-02 06:44:26
63,pizza,2021-01-02 06:45:35
62,grill,2021-01-02 06:50:41
57,spaghetti,2021-01-02 06:52:53
65,enter,2021-01-02 06:56:02
57,leave,2021-01-02 07:00:42
65,pizza,2021-01-02 07:05:39
62,grill,2021-01-02 07:05:42
64,grill,2021-01-02 07:07:35
63,spaghetti,2021-01-02 07:09:11
64,spaghetti,2021-01-02 07:14:28
66,enter,2021-01-02 07:21:56
63,grill,2021-01-02 07:22:16
65,grill,2021-01-02 07:23:28
64,grill,2021-01-02 07:29:33
62,grill,2021-01-02 07:31:18
66,pizza,2021-01-02 07:39:08
65,spaghetti,2021-01-02 07:42:00
64,spaghetti,2021-01-02 07:48:15
65,spaghetti,2021-01-02 07:49:49
67,enter,2021-01-02 07:53:55
62,grill,2021-01-02 07:58:26
64,spaghetti,2021-01-02 08:08:53
66,spaghetti,2021-01-02 08:09:09
67,pizza,2021-01-02 08:15:14
66,grill,2021-01-02 08:19:53
62,grill,2021-01-02 08:21:29
64,leave,2021-01-02 08:28:51
62,leave,2021-01-02 08:33:58
68,enter,2021-01-02 08:34:56
66,spaghetti,2021-01-02 08:35:43
67,grill,2021-01-02 08:45:36
66,leave,2021-01-02 08:45:40
68,pizza,2021-01-02 08:49:48
67,spaghetti,2021-01-02 09:14:33
69,enter,2021-01-02 09:16:22
70,enter,2021-01-02 09:17:31
68,grill,2021-01-02 09:19:46
68,spaghetti,2021-01-02 09:24:13
67,spaghetti,2021-01-02 09:25:53
69,pizza,2021-01-02 09:26:15
71,enter,2021-01-02 09:30:11
67,leave,2021-01-02 09:33:38
70,pizza,2021-01-02 09:42:12
69,spaghetti,2021-01-02 09:44:36
68,spaghetti,2021-01-02 09:45:57
71,pizza,2021-01-02 09:47:16
68,leave,2021-01-02 09:54:27
72,enter,2021-01-02 09:55:24
69,grill,2021-01-02 10:02:46
70,grill,2021-01-02 10:05:09
72,pizza,2021-01-02 10:05:18
70,grill,2021-01-02 10:11:11
71,grill,2021-01-02 10:17:31
72,grill,2021-01-02 10:20:27
72,spaghetti,2021-01-02 10:26:47
71,grill,2021-01-02 10:27:00
73,enter,2021-01-02 10:27:12
73,pizza,2021-01-02 10:40:00
70,spaghetti,2021-01-02 10:40:38
74,enter,2021-01-02 10:51:21
71,spaghetti,2021-01-02 10:52:51
73,grill,2021-01-02 10:59:06
74,pizza,2021-01-02 11:00:44
70,leave,2021-01-02 11:01:11
73,spaghetti,2021-01-02 11:09:38
74,grill,2021-01-02 11:15:52
73,spaghetti,2021-01-02 11:20:59
75,enter,2021-01-02 11:31:53
73,grill,2021-01-02 11:33:05
76,enter,2021-01-02 11:37:18
75,pizza,2021-01-02 11:42:47
74,spaghetti,2021-01-02 11:47:21
75,spaghetti,2021-01-02 11:56:11
73,leave,2021-01-02 11:57:01
76,pizza,2021-01-02 11:58:56
74,spaghetti,2021-01-02 12:04:47
75,spaghetti,2021-01-02 12:06:49
77,enter,2021-01-02 12:08:33
74,leave,2021-01-02 12:12:44
77,grill,2021-01-02 12:17:42
75,grill,2021-01-02 12:20:03
76,spaghetti,2021-01-02 12:25:06
78,enter,2021-01-02 12:25:54
78,pizza,2021-01-02 12:32:40
77,pizza,2021-01-02 12:33:56
76,grill,2021-01-02 12:39:57
75,leave,2021-01-02 12:40:29
79,enter,2021-01-02 12:51:04
77,grill,2021-01-02 12:53:25
78,spaghetti,2021-01-02 12:53:39
76,spaghetti,2021-01-02 12:58:03
80,enter,2021-01-02 12:58:04
79,pizza,2021-01-02 13:02:33
77,spaghetti,2021-01-02 13:03:20
80,pizza,2021-01-02 13:09:07
78,grill,2021-01-02 13:09:32
76,spaghetti,2021-01-02 13:16:31
81,enter,2021-01-02 13:17:38
77,spaghetti,2021-01-02 13:23:36
81,pizza,2021-01-02 13:24:48
79,grill,2021-01-02 13:30:04
